OBJECTID;CRSH_ID;COUNTY;COUNTY_NBR;MUNCIPALIT;ON_RD;DIS;DIR;FROM_RD;TWDS_RD;MLPST_RD;GIS_MP_ROU;MILEPOST;HO_ROUTE_N;HO_ROUTE_C;SEV;CRASH_DATE;DAY;TIME;LIGHT_COND;ROAD_SURFA;ALCOHOL_FL;MOTORCYCLE;HEAVY_TRUC;SPEED_RELA;OLDER_DRIV;TEEN_DRIVE;CRASH_TYPE;LOC_ERROR;geo_shape;geo_point_2d
648;104175687.0;BUNCOMBE;10.0;ASHEVILLE;SR 3451;0.4;E;NC 151;*PVA HOMINEY HEIGHTS LN;SR 3451;4000345110.0;0.535;SR 3451;SR;K;2014-10-06T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;N;N;N;N;N;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-82.69702571850308, 35.53145517089327]}";35.5314551709, -82.6970257185
659;102989403.0;CALDWELL;13.0;CAJAHS MOUNTAIN;SR 1001;0.5;S;SR 1130;SR 1136;SR 1001;4000100110.0;5.47;SR 1001;SR;K;2010-10-15T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;Y;N;N;Y;Y;REAR_END;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.53498236118074, 35.8211337544334]}";35.8211337544, -81.5349823612
647;104212575.0;BURKE;11.0;MORGANTON;REEP;0.4;N;DIXIE;CARBON CITY;SR 1150;4000115010.0;0.192;SR 1150;SR;K;2014-10-24T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.76022003205152, 35.72489359794597]}";35.7248935979, -81.7602200321
646;104015610.0;CATAWBA;17.0;LONG VIEW;US 70;0.12300000000000001;W;31ST;34TH;US 70;2000007020.0;0.637;US 70;US;K;2014-02-25T20:00:00-05:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.39111296305626, 35.720278543169506]}";35.7202785432, -81.3911129631
664;103214145.0;CABARRUS;12.0;CONCORD;SR 2408;0.4;W;SR 2427;SR 2429;SR 2408;4000240810.0;5.327;SR 2408;SR;K;2011-07-25T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;N;N;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.47586293315145, 35.45821701354217]}";35.4582170135, -80.4758629332
695;103668802.0;CHEROKEE;19.0;MURPHY;US 19;0.7000000000000001;E;SR 1398;ML-MURPHY;US 19;2000001920.0;8.15;US 19;US;K;2013-01-26T20:00:00-05:00;SUNDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;Y;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-84.04625194109514, 35.07443440541267]}";35.0744344054, -84.0462519411
690;102777961.0;CHATHAM;18.0;PITTSBORO;SR 1726;0.0;;SR 1727;SR 1008;SR 1726;4000172620.0;0.63;SR 1726;SR;K;2010-01-21T20:00:00-05:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.01875380586691, 35.852276385119325]}";35.8522763851, -79.0187538059
671;103509601.0;CARTERET;15.0;EMERALD ISLE;NC 58;0.0;;BOGUE INLET;*;NC 58;3000005820.0;20.756;NC 58;NC;K;2012-06-28T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;Y;N;N;N;Y;Y;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-77.05941739487353, 34.6607820668509]}";34.6607820669, -77.0594173949
653;102843959.0;CABARRUS;12.0;CONCORD;SR 1154;0.062;E;THANET;*LCL BRANDON RIDGE STREET;SR 1154;4000115410.0;999.999;SR 1154;SR;K;2010-04-16T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;Y;N;N;N;N;LANE_DEPARTURE;ROUTE MEASURE NOT FOUND;;
654;103803346.0;CATAWBA;17.0;CATAWBA;SR 1706;0.3;W;SR 2461;SR 1700;SR 1706;4000170620.0;999.999;SR 1706;SR;K;2013-07-14T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;N;LANE_DEPARTURE;ROUTE MEASURE NOT FOUND;;
614;102834088.0;CABARRUS;12.0;CONCORD;SR 1394;0.021;E;SR 1524;SR 1564;SR 1394;4000139410.0;6.664000000000001;SR 1394;SR;K;2010-04-06T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;Y;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.7236949455832, 35.40953434015364]}";35.4095343402, -80.7236949456
619;104224562.0;CATAWBA;17.0;MAIDEN;SR 2004;0.021;N;CL-LINCOLN;SR 2005;SR 2004;4000200420.0;1.335;SR 2004;SR;K;2014-11-23T20:00:00-05:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;N;N;N;Y;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.23805768296938, 35.55716495874911]}";35.5571649587, -81.238057683
611;104008219.0;CHATHAM;18.0;PITTSBORO;US 64;0.02;W;SR 1008;SR 1716;US 64;2000006420.0;32.4;US 64;US;K;2014-03-16T21:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;Y;N;N;N;N;Y;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.00004712585766, 35.73659364100551]}";35.736593641, -79.0000471259
622;103983259.0;CABARRUS;12.0;CONCORD;CONCORD;0.043000000000000003;N;SUMNER;MONTFORD;US 29;2000002910.0;6.6530000000000005;US 29;US;K;2013-12-21T20:00:00-05:00;SUNDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;WET;Y;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.60978319290692, 35.404760246832595]}";35.4047602468, -80.6097831929
599;103421352.0;BURKE;11.0;MORGANTON;AVERY;0.0;N;BOUCHELLE;SHORT;US 64BUS;2900006410.0;1.6600000000000001;US 64BUS;US;K;2012-03-06T20:00:00-05:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.68738056495212, 35.74896936377275]}";35.7489693638, -81.687380565
624;104044047.0;CALDWELL;13.0;LENOIR;SR 1310;0.9;W;SR 1339;SR 1143;SR 1310;4000131010.0;1.715;SR 1310;SR;K;2014-04-23T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;Y;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.63589055508277, 35.924312058901656]}";35.9243120589, -81.6358905551
638;104156420.0;CHATHAM;18.0;PITTSBORO;SR 1012;0.9;NE;SR 1943;SR 1937;SR 1012;4000101220.0;1.86;SR 1012;SR;K;2014-09-07T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;WET;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.10685684550214, 35.63869115512479]}";35.6386911551, -79.1068568455
634;102852755.0;CARTERET;15.0;NEWPORT;US 70;0.8;N;SR 1247;CL-CRAVEN;US 70;2000007020.0;0.66;US 70;US;K;2010-05-01T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;Y;N;N;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-76.88169630144962, 34.83556095142341]}";34.8355609514, -76.8816963014
606;103190350.0;CALDWELL;13.0;LENOIR;SR 1346;0.0;;SR 1353;SR 1347;SR 1346;4000134610.0;0.51;SR 1346;SR;K;2011-06-30T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;N;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.57149253832765, 35.97438683377533]}";35.9743868338, -81.5714925383
631;103213629.0;BUNCOMBE;10.0;ASHEVILLE;SARDIS;0.006;W;COUNTRY MEADOWS;LINDA VISTA;SARDIS;5002719610.0;999.999;SARDIS;LCL;K;2011-06-30T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;REAR_END;ROUTE NOT FOUND;;
719;104204877.0;CATAWBA;17.0;NEWTON;SR 1735;0.04;SE;SR 1754;NC 10;SR 1735;4000173520.0;0.14500000000000002;SR 1735;SR;K;2014-11-01T21:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.18830020334467, 35.664674121384785]}";35.6646741214, -81.1883002033
738;102991179.0;CATAWBA;17.0;HICKORY;SR 1618;0.1;S;SR 2226;SR 1519;SR 1618;4000161820.0;0.34700000000000003;SR 1618;SR;K;2010-10-19T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;Y;N;N;N;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.21172832144264, 35.80969067584106]}";35.8096906758, -81.2117283214
731;103169143.0;BURKE;11.0;MORGANTON;JAMESTON;0.1;NE;CARBIN;CARBIN;SR 1142;4000114210.0;7.58;SR 1142;SR;K;2011-05-19T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;N;N;N;Y;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.72762285980359, 35.7337813685059]}";35.7337813685, -81.7276228598
709;103121597.0;CALDWELL;13.0;LENOIR;CREEKWAY;0.076;NE;POPLAR;BROADWAY;SR 1300;4000130010.0;1.9360000000000002;SR 1300;SR;K;2011-03-26T21:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;UNK;N;N;N;N;Y;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.55280271678309, 35.9194843545042]}";35.9194843545, -81.5528027168
729;103217422.0;CHATHAM;18.0;SILER CITY;SR 1162;0.023;W;SR 1157;SR 1151;SR 1162;4000116220.0;0.42700000000000005;SR 1162;SR;K;2011-07-24T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.54424294870613, 35.56122715490866]}";35.5612271549, -79.5442429487
